Time,e_0,e`_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1,N_hat_1,N_hat_2
0.056, 0.161235, 0.0176998, 1.55118, -1.67694, -0.0588275, -0.296283, 0.0972734, -0.286336, 0.102408, -0.278583, 6.33451, 5.28966, -4.5312, -1.23227, -0.001, -0.184, -5.63047, -1.62076
0.057, 0.153741, 0.0220068, 1.55089, -1.67871, -0.0448064, -0.295215, 0.103811, -0.280932, 0.108935, -0.273208, 6.52693, 5.37534, -4.15727, -1.14485, -0.001, -0.184, -5.21997, -1.55486
0.058, 0.158238, 0.0154306, 1.55067, -1.68015, -0.0441968, -0.284531, 0.108934, -0.27679, 0.114041, -0.269101, 5.10636, 4.10714, -5.12271, -1.41613, -0.001, -0.184, -6.20737, -1.79328
0.059, 0.169124, 0.00198363, 1.55035, -1.68209, -0.0481593, -0.265658, 0.115866, -0.271336, 0.120965, -0.263674, 6.92345, 5.4268, -3.23563, -1.19183, -0.001, -0.184, -4.37327, -1.50175
0.06, 0.175928, -0.0152577, 1.55006, -1.68378, -0.0490737, -0.243935, 0.121769, -0.266822, 0.126855, -0.259193, 5.88983, 4.48138, -3.7714, -2.1272, -0.001, -0.184, -4.94208, -1.75092
0.061, 0.178343, -0.0241222, 1.54976, -1.68498, -0.0466353, -0.231471, 0.126641, -0.263186, 0.131708, -0.255593, 4.85345, 3.5993, -4.15246, -2.43143, -0.001, -0.184, -5.33484, -2.01084
0.062, 0.179084, -0.0289398, 1.54959, -1.6859, -0.0441968, -0.224349, 0.129847, -0.260838, 0.134887, -0.253289, 3.17941, 2.30462, -4.61193, -2.7959, -0.001, -0.184, -5.7979, -2.35124
0.063, 0.176461, -0.0276721, 1.54938, -1.68702, -0.0377959, -0.222925, 0.133647, -0.258105, 0.138665, -0.250597, 3.77727, 2.69213, -3.74406, -2.83129, -0.001, -0.184, -4.91732, -2.39297
0.064, 0.174319, -0.020071, 1.54924, -1.68788, -0.032919, -0.228622, 0.136411, -0.256157, 0.1414, -0.248693, 2.73536, 1.90331, -3.57837, -3.00037, -0.001, -0.184, -4.74125, -2.60003
0.065, 0.174921, -0.0110895, 1.54912, -1.68886, -0.0307854, -0.235744, 0.139175, -0.254253, 0.144135, -0.246834, 2.7354, 1.85931, -2.91105, -3.00765, -0.001, -0.184, -4.07684, -2.6522
0.066, 0.179161, 0.0155897, 1.54894, -1.6904, -0.0307854, -0.259604, 0.143436, -0.251394, 0.148376, -0.244014, 4.24019, 2.81988, -1.82876, -2.0556, -0.001, -0.184, -3.01511, -2.43354
0.067, 0.184398, 0.0337717, 1.54881, -1.69144, -0.0332238, -0.275985, 0.146263, -0.249548, 0.151175, -0.242213, 2.79893, 1.80097, -1.56635, -1.98689, -0.001, -0.184, -2.77803, -2.45569
0.068, 0.187849, 0.0461013, 1.54864, -1.69286, -0.032919, -0.285956, 0.150041, -0.247148, 0.15493, -0.239855, 3.75543, 2.35854, -0.724157, -1.66545, -0.001, -0.184, -1.95251, -2.1958
0.069, 0.187684, 0.0494752, 1.54843, -1.69488, -0.0277373, -0.286312, 0.155074, -0.244093, 0.159947, -0.236837, 5.01653, 3.01781, -0.0101631, -1.36624, -0.001, -0.184, -1.23772, -1.91342
0.07, 0.18539, 0.0445058, 1.54829, -1.69655, -0.0216412, -0.27919, 0.158898, -0.241898, 0.163748, -0.234684, 3.80187, 2.15278, 0.359947, -1.33378, -0.001, -0.184, -0.856526, -1.85616
0.071, 0.177156, 0.0214609, 1.54817, -1.69865, -0.00914417, -0.253906, 0.163182, -0.239617, 0.168012, -0.232445, 4.26363, 2.2389, 0.863451, -1.35344, -0.001, -0.184, -0.313178, -1.76073
0.072, 0.172707, -0.00461913, 1.54814, -1.70033, -0.00182883, -0.226486, 0.166075, -0.238231, 0.170878, -0.231105, 2.8658, 1.34035, 1.43747, -2.18477, -0.001, -0.184, 0.282423, -1.86167
0.073, 0.17198, -0.0250052, 1.54814, -1.70183, 0.00121922, -0.205119, 0.168425, -0.237204, 0.173199, -0.230124, 2.32089, 0.980496, 2.13727, -2.42057, -0.001, -0.184, 0.985747, -1.99557
0.074, 0.17181, -0.0287666, 1.54816, -1.70341, 0.00365767, -0.20049, 0.170724, -0.236288, 0.175468, -0.229256, 2.26912, 0.868003, 2.83578, -2.57468, -0.001, -0.184, 1.68509, -2.13089
0.075, 0.171877, -0.0201795, 1.5482, -1.70505, 0.00579131, -0.208324, 0.172955, -0.235488, 0.177669, -0.228504, 2.20076, 0.752717, 3.54553, -2.62845, -0.001, -0.184, 2.3945, -2.22756
0.076, 0.170954, -0.0147552, 1.54824, -1.70628, 0.00822975, -0.21331, 0.174503, -0.235, 0.179184, -0.228065, 1.51535, 0.438711, 4.37666, -2.68029, -0.001, -0.184, 3.23012, -2.30651
0.077, 0.173981, 0.00590597, 1.54833, -1.70855, 0.00792494, -0.233252, 0.177252, -0.234233, 0.181906, -0.227346, 2.72205, 0.719094, 4.83235, -1.9393, -0.001, -0.184, 3.67112, -2.26883
0.078, 0.175667, 0.0143339, 1.54836, -1.70946, 0.00731533, -0.241442, 0.178364, -0.233946, 0.182983, -0.227108, 1.07664, 0.237379, 5.96769, -1.84578, -0.001, -0.184, 4.79828, -2.21745
0.079, 0.176871, 0.015667, 1.54839, -1.71046, 0.00731533, -0.242511, 0.179601, -0.233632, 0.184186, -0.226844, 1.20337, 0.264819, 6.74839, -1.76671, -0.001, -0.184, 5.57315, -2.14504
0.08, 0.175481, 0.00879428, 1.54843, -1.71164, 0.0100586, -0.235388, 0.180988, -0.233333, 0.18554, -0.226594, 1.35365, 0.249446, 7.49146, -1.76094, -0.001, -0.184, 6.32295, -2.10491
0.081, 0.169996, -0.00313171, 1.54855, -1.71353, 0.0173739, -0.223281, 0.182849, -0.233102, 0.18737, -0.226412, 1.83028, 0.181732, 8.057, -2.43579, -0.001, -0.184, 6.91512, -2.12013
0.082, 0.16067, -0.00792105, 1.54871, -1.71508, 0.0277373, -0.218651, 0.183921, -0.233211, 0.188407, -0.226572, 1.03723, -0.159916, 8.96177, -2.49626, -0.001, -0.184, 7.86526, -2.15666
0.083, 0.151677, -0.000918633, 1.54894, -1.71658, 0.0371863, -0.22613, 0.184414, -0.233635, 0.188863, -0.227048, 0.456008, -0.475879, 9.71757, -2.45921, -0.001, -0.184, 8.66495, -2.15462
0.084, 0.146448, 0.00870651, 1.5491, -1.71755, 0.0426728, -0.236101, 0.184709, -0.23393, 0.18912, -0.227394, 0.257261, -0.34592, 10.392, -1.77417, -0.001, -0.184, 9.36491, -2.11771
0.085, 0.136687, 0.0173608, 1.54934, -1.71876, 0.0524266, -0.245359, 0.184742, -0.234482, 0.189114, -0.227999, -0.00645822, -0.6046, 10.9911, -1.64454, -0.001, -0.184, 10.0119, -2.03134
0.086, 0.118243, 0.0131516, 1.54984, -1.72073, 0.0701053, -0.242511, 0.184018, -0.235787, 0.188348, -0.229359, -0.765909, -1.36029, 11.3619, -1.56669, -0.001, -0.184, 10.4735, -1.93244
0.087, 0.10469, 0.00774097, 1.55024, -1.72193, 0.0826023, -0.238237, 0.183007, -0.23687, 0.187292, -0.230496, -1.05566, -1.13731, 11.6922, -1.57436, -0.001, -0.184, 10.8707, -1.91306
0.088, 0.0898825, -0.00320878, 1.55069, -1.72322, 0.0960138, -0.228622, 0.181656, -0.23815, 0.185896, -0.231831, -1.39618, -1.33479, 11.8907, -2.23021, -0.001, -0.184, 11.1425, -1.91417
0.089, 0.0729727, -0.0119524, 1.55122, -1.72422, 0.110644, -0.2215, 0.179426, -0.239715, 0.183617, -0.233452, -2.27914, -1.62141, 11.61, -2.30255, -0.001, -0.184, 10.9458, -1.94279
0.09, 0.0584795, -0.0177559, 1.55171, -1.72506, 0.122837, -0.217227, 0.177174, -0.24119, 0.181316, -0.234983, -2.30096, -1.53019, 11.7579, -2.41566, -0.001, -0.184, 11.1658, -2.02689
0.091, 0.0466131, -0.0161573, 1.55235, -1.72615, 0.131676, -0.220788, 0.1742, -0.243095, 0.178289, -0.236945, -3.02706, -1.96255, 11.2828, -2.43212, -0.001, -0.184, 10.7499, -2.05134
0.092, 0.02342, -0.00354416, 1.55361, -1.72826, 0.148745, -0.237169, 0.168144, -0.246797, 0.172165, -0.240713, -6.12398, -3.76787, 7.70691, -2.10536, -0.001, -0.184, 7.28983, -1.78764
0.093, 0.0114477, -0.000876328, 1.55425, -1.72919, 0.15728, -0.241798, 0.16476, -0.248702, 0.168727, -0.242675, -3.43771, -1.96159, 10.8101, -2.37145, -0.001, -0.184, 10.4529, -2.06707
0.094, 0.00382985, -0.00292379, 1.55518, -1.73069, 0.160023, -0.242511, 0.159946, -0.251402, 0.163853, -0.245434, -4.87464, -2.75968, 9.18305, -2.28708, -0.001, -0.184, 8.8639, -1.97246
0.095, -0.0165968, -0.00429773, 1.55636, -1.73233, 0.173739, -0.244647, 0.153306, -0.254848, 0.157142, -0.248945, -6.71037, -3.5106, 6.19123, -2.183, -0.001, -0.184, 6.57421, -1.86151
0.096, -0.0304506, -0.00493904, 1.55742, -1.73383, 0.181359, -0.24714, 0.147139, -0.257921, 0.150909, -0.252079, -6.23364, -3.13407, 6.6616, -2.26898, -0.001, -0.184, 7.1138, -1.94429
0.097, -0.0349186, -0.0090219, 1.55795, -1.73457, 0.182579, -0.244647, 0.143942, -0.259458, 0.14766, -0.253669, -3.24879, -1.59009, 9.94361, -2.53491, -0.001, -0.184, 10.4181, -2.1898
0.098, -0.0331509, -0.0137739, 1.55884, -1.73579, 0.175263, -0.242511, 0.138457, -0.262014, 0.142112, -0.256284, -5.54769, -2.61539, 7.33556, -2.48361, -0.001, -0.184, 7.80126, -2.11475
0.099, -0.03666, -0.0191262, 1.55957, -1.73671, 0.174044, -0.239306, 0.133787, -0.264106, 0.137384, -0.258432, -4.72829, -2.14724, 8.19387, -2.65384, -0.001, -0.184, 8.67709, -2.25822
0.1, -0.0474152, -0.0224307, 1.56046, -1.7379, 0.178921, -0.238593, 0.127973, -0.266641, 0.131506, -0.261024, -5.87836, -2.59231, 6.70281, -2.69036, -0.001, -0.184, 7.23971, -2.27822
0.101, -0.0620649, -0.012385, 1.56169, -1.73964, 0.185322, -0.252125, 0.119799, -0.270065, 0.123257, -0.264511, -8.24872, -3.48649, 3.89314, -2.51472, -0.001, -0.184, 4.50307, -2.15279
0.102, -0.0705921, -0.00713186, 1.56247, -1.74069, 0.18837, -0.259604, 0.114381, -0.272235, 0.117778, -0.266736, -5.47918, -2.22513, 6.83992, -2.74293, -0.001, -0.184, 7.4923, -2.40727
0.103, -0.0727194, -0.00394572, 1.56324, -1.7417, 0.185017, -0.264945, 0.108962, -0.274336, 0.112298, -0.268891, -5.48013, -2.15551, 6.68093, -2.75284, -0.001, -0.184, 7.34388, -2.43311
0.104, -0.0701653, 0.0013521, 1.56393, -1.74283, 0.177702, -0.272068, 0.104258, -0.276107, 0.107536, -0.270716, -4.76123, -1.82437, 7.31014, -2.16529, -0.001, -0.184, 7.96039, -2.47205
0.105, -0.0718668, 0.00756184, 1.56466, -1.7439, 0.174044, -0.280258, 0.0989581, -0.278035, 0.102177, -0.272696, -5.35915, -1.98078, 6.50893, -2.08257, -0.001, -0.184, 7.16765, -2.42038
0.106, -0.0736354, 0.0123173, 1.56516, -1.74474, 0.172215, -0.286312, 0.0954112, -0.279284, 0.0985798, -0.273995, -3.59745, -1.29836, 8.01666, -2.08108, -0.001, -0.184, 8.68417, -2.44266
0.107, -0.0802927, 0.0116162, 1.56617, -1.74651, 0.171606, -0.288093, 0.0882127, -0.28171, 0.0913128, -0.276476, -7.26695, -2.48168, 4.20446, -1.89258, -0.001, -0.184, 4.90507, -2.25066
0.108, -0.0929819, 0.00661874, 1.56705, -1.74797, 0.177702, -0.285244, 0.0816844, -0.283805, 0.0847197, -0.278625, -6.5931, -2.1486, 4.69091, -1.93946, -0.001, -0.184, 5.45448, -2.27256
0.109, -0.100963, 0.000139618, 1.56794, -1.74938, 0.178616, -0.28097, 0.0746843, -0.285958, 0.0776528, -0.280831, -7.06692, -2.2058, 4.0646, -1.96334, -0.001, -0.184, 4.86771, -2.26404
0.11, -0.0997424, -0.00835425, 1.56881, -1.75076, 0.170386, -0.27456, 0.0677415, -0.287989, 0.0706439, -0.282915, -7.00889, -2.0839, 4.00736, -2.65608, -0.001, -0.184, 4.80442, -2.31431
0.111, -0.0959575, -0.0163953, 1.57029, -1.75315, 0.154232, -0.269931, 0.0554641, -0.291342, 0.0582741, -0.286326, -12.3698, -3.41166, 0.35018, -2.5275, -0.001, -0.184, 1.1285, -2.14553
0.112, -0.0972555, -0.00590522, 1.5713, -1.75509, 0.146611, -0.278478, 0.0466207, -0.289367, 0.049356, -0.284383, -8.91814, 1.9435, 2.29699, -2.74579, -0.001, -0.184, 3.08174, -2.41626
0.113, -0.0947096, 0.015032, 1.57258, -1.75763, 0.13259, -0.295215, 0.0352326, -0.285146, 0.0378808, -0.280183, -11.4752, 4.20012, 0.709966, -1.57519, -0.001, -0.184, 1.4821, -1.95034
0.114, -0.0921368, 0.026885, 1.57343, -1.75977, 0.123141, -0.304474, 0.0284202, -0.282524, 0.0310047, -0.277589, -6.87613, 2.59415, 3.91165, -1.73306, -0.001, -0.184, 4.67103, -2.16745
0.115, -0.0817346, 0.0147637, 1.57423, -1.7619, 0.106377, -0.289873, 0.0221188, -0.280016, 0.0246425, -0.275109, -6.36219, 2.47911, 4.30246, -1.75452, -0.001, -0.184, 5.01022, -2.12834
0.116, -0.0722204, -0.0039376, 1.57499, -1.76409, 0.0911369, -0.268863, 0.0164501, -0.277677, 0.0189165, -0.2728, -5.72601, 2.30919, 4.7791, -2.4879, -0.001, -0.184, 5.43957, -2.16821
0.117, -0.0693773, -0.0136252, 1.57553, -1.76564, 0.0841263, -0.257467, 0.0123319, -0.275937, 0.014749, -0.271092, -4.16747, 1.70789, 5.8927, -2.6678, -0.001, -0.184, 6.53903, -2.29968
0.118, -0.0715384, -0.0119297, 1.57609, -1.76745, 0.0822975, -0.257467, 0.00839006, -0.274209, 0.0107591, -0.269397, -3.98997, 1.69549, 5.80018, -2.7108, -0.001, -0.184, 6.45727, -2.35115
0.119, -0.0751955, -0.00528661, 1.5765, -1.76875, 0.0829071, -0.262809, 0.00538578, -0.272874, 0.0077116, -0.268095, -3.04746, 1.30147, 6.1341, -2.73932, -0.001, -0.184, 6.80937, -2.41288
0.12, -0.0808087, 0.00321504, 1.57692, -1.77008, 0.0853456, -0.269931, 0.0022546, -0.271461, 0.00453686, -0.266716, -3.17475, 1.37947, 5.74658, -2.07562, -0.001, -0.184, 6.44974, -2.3917
0.121, -0.0843145, 0.0118999, 1.57718, -1.77089, 0.0868696, -0.277765, 0.000310249, -0.270574, 0.00255509, -0.265866, -1.98176, 0.850405, 5.95192, -2.01831, -0.001, -0.184, 6.6725, -2.37781
