Time,e_0,e_1,s_0,s_1,k1_0,k1_1,q_0,q_4,dq_0,dq_4,dqr_0,dqr_1,dqd_0,dqd_1,ddqd_0,ddqd_1,tau_0,tau_4,Fext_0,Fext_1
0.049, -0.283936, -0.449911, -0.622174, -0.799351, 5.07889, 6.09903, 1.57008, -1.57072, -0.00121922, 0.000356109, -0.289561, -0.45771, -0.285155, -0.449555, 0.00324407, -0.033207, -3.55237, -0.154275, -0, -0
0.05, -0.283303, -0.449579, -0.628009, -0.810654, 5.12132, 6.16228, 1.57007, -1.57072, -0.00182883, 0, -0.289516, -0.457694, -0.285132, -0.449579, 0.0238038, -0.0240686, -3.59593, -0.156948, -0, -0
0.051, -0.282008, -0.449586, -0.633071, -0.822149, 5.16375, 6.22552, 1.57005, -1.57072, -0.00304806, 0, -0.289419, -0.45766, -0.285056, -0.449586, 0.0752149, -0.00717782, -3.62856, -0.159543, -0, -0
0.052, -0.281013, -0.449948, -0.638472, -0.833849, 5.20617, 6.28877, 1.57003, -1.57072, -0.00396247, 0.000356109, -0.289316, -0.457626, -0.284975, -0.449592, 0.0813116, -0.0058663, -3.67409, -0.16234, -0, -0
0.053, -0.280265, -0.449933, -0.644153, -0.845335, 5.2486, 6.35201, 1.57, -1.57072, -0.00457208, 0.000356109, -0.289157, -0.457571, -0.284837, -0.449577, 0.138121, 0.0147843, -3.70948, -0.165027, -0, -0
0.054, -0.279508, -0.449558, -0.649819, -0.856612, 5.29103, 6.41526, 1.56997, -1.57072, -0.00518169, 0, -0.288989, -0.457513, -0.284689, -0.449558, 0.147449, 0.0191089, -3.75639, -0.167838, -0, -0
0.055, -0.279021, -0.449527, -0.655792, -0.868085, 5.33345, 6.47851, 1.56993, -1.57072, -0.0054865, 0, -0.288786, -0.457442, -0.284507, -0.449527, 0.182222, 0.0312324, -3.79937, -0.170675, -0, -0
0.056, -0.278219, -0.44985, -0.661397, -0.879762, 5.37588, 6.54175, 1.56989, -1.57072, -0.00609611, 0.000356109, -0.288574, -0.45737, -0.284315, -0.449494, 0.192218, 0.0329366, -3.84666, -0.173609, -0, -0
0.057, -0.276136, -0.449437, -0.665512, -0.891017, 5.41831, 6.605, 1.56984, -1.57072, -0.00792494, 0, -0.2883, -0.457275, -0.284061, -0.449437, 0.254082, 0.0562806, -3.87391, -0.176223, -0, -0
0.058, -0.274258, -0.448992, -0.669853, -0.90225, 5.46073, 6.66824, 1.56977, -1.57072, -0.00944897, -0.000356109, -0.287927, -0.457146, -0.283707, -0.449348, 0.353531, 0.0897093, -3.89383, -0.178812, -0, -0
0.059, -0.273458, -0.449315, -0.675425, -0.913922, 5.50316, 6.73149, 1.56973, -1.57072, -0.0100586, 0, -0.287716, -0.457075, -0.283517, -0.449315, 0.190814, 0.0329578, -3.98293, -0.182265, -0, -0
0.06, -0.27327, -0.448925, -0.681699, -0.925186, 5.54558, 6.79473, 1.56969, -1.57072, -0.0100586, -0.000356109, -0.287509, -0.457002, -0.283329, -0.449281, 0.187726, 0.0339561, -4.03846, -0.185341, -0, -0
0.061, -0.271969, -0.448823, -0.686686, -0.936613, 5.58801, 6.85798, 1.56962, -1.57072, -0.010973, -0.000356109, -0.287102, -0.456863, -0.282942, -0.449179, 0.387156, 0.101791, -4.03943, -0.187855, -0, -0
0.062, -0.271253, -0.44907, -0.69234, -0.94824, 5.63044, 6.92122, 1.56954, -1.57072, -0.0112778, 0, -0.286673, -0.456716, -0.282531, -0.44907, 0.411064, 0.109249, -4.08601, -0.190932, -0, -0
0.063, -0.269534, -0.449284, -0.696832, -0.95985, 5.67286, 6.98447, 1.56944, -1.57072, -0.012497, 0.000356109, -0.286155, -0.456537, -0.282031, -0.448928, 0.499736, 0.141843, -4.11117, -0.193743, -0, -0
0.064, -0.269295, -0.448877, -0.703017, -0.971104, 5.71529, 7.04772, 1.56939, -1.57072, -0.012497, 0, -0.285897, -0.456448, -0.281792, -0.448877, 0.238509, 0.051156, -4.22891, -0.197605, -0, -0
0.065, -0.266977, -0.448739, -0.706809, -0.982509, 5.75772, 7.11096, 1.5693, -1.57072, -0.0143259, 0, -0.28539, -0.456273, -0.281303, -0.448739, 0.489519, 0.137739, -4.21243, -0.199988, -0, -0
0.066, -0.266212, -0.448611, -0.71237, -0.993919, 5.80014, 7.17421, 1.56921, -1.57072, -0.0146307, 0, -0.284912, -0.456109, -0.280843, -0.448611, 0.459691, 0.127654, -4.27271, -0.203281, -0, -0
0.067, -0.265234, -0.448158, -0.717679, -1.00514, 5.84257, 7.23745, 1.56913, -1.57072, -0.0152403, -0.000356109, -0.284524, -0.455974, -0.280474, -0.448514, 0.369073, 0.0975688, -4.3463, -0.206703, -0, -0
0.068, -0.263911, -0.448403, -0.722587, -1.01676, 5.885, 7.3007, 1.56905, -1.57072, -0.0161547, 0, -0.284098, -0.455827, -0.280066, -0.448403, 0.408404, 0.110345, -4.38731, -0.209855, -0, -0
0.069, -0.263647, -0.447986, -0.728698, -1.028, 5.92742, 7.36394, 1.569, -1.57072, -0.0161547, -0.000356109, -0.283815, -0.45573, -0.279801, -0.448343, 0.264405, 0.0609103, -4.4789, -0.213559, -0, -0
0.07, -0.263027, -0.448264, -0.7344, -1.03964, 5.96985, 7.42719, 1.56894, -1.57072, -0.0164595, 0, -0.283481, -0.455615, -0.279486, -0.448264, 0.315105, 0.07854, -4.52255, -0.216816, -0, -0
0.071, -0.262343, -0.448058, -0.740023, -1.051, 6.01227, 7.49043, 1.56881, -1.57072, -0.0164595, 0, -0.282781, -0.455373, -0.278802, -0.448058, 0.684143, 0.205881, -4.4908, -0.219254, -0, -0
0.072, -0.262436, -0.44791, -0.746532, -1.06239, 6.0547, 7.55368, 1.56871, -1.57072, -0.0158499, 0, -0.282247, -0.45519, -0.278286, -0.44791, 0.516154, 0.148186, -4.59163, -0.223169, -0, -0
0.073, -0.262742, -0.447835, -0.753285, -1.07383, 6.09713, 7.61693, 1.56865, -1.57072, -0.0152403, 0, -0.281925, -0.455079, -0.277982, -0.447835, 0.303486, 0.0750516, -4.70488, -0.227256, -0, -0
0.074, -0.262799, -0.447674, -0.759755, -1.08521, 6.13955, 7.68017, 1.56854, -1.57072, -0.0146307, 0, -0.281356, -0.454882, -0.27743, -0.447674, 0.552732, 0.161157, -4.70765, -0.230171, -0, -0
0.075, -0.262576, -0.447164, -0.765905, -1.09639, 6.18198, 7.74342, 1.56844, -1.57072, -0.0143259, -0.000356109, -0.280811, -0.454694, -0.276902, -0.44752, 0.527695, 0.153651, -4.77382, -0.233743, -0, -0
0.076, -0.26213, -0.447395, -0.771798, -1.10799, 6.22441, 7.80666, 1.56836, -1.57072, -0.0143259, 0, -0.280348, -0.454534, -0.276456, -0.447395, 0.446249, 0.124803, -4.85231, -0.237537, -0, -0
0.077, -0.262072, -0.447655, -0.778131, -1.11962, 6.26683, 7.86991, 1.56829, -1.57072, -0.0140211, 0.000356109, -0.279967, -0.454402, -0.276093, -0.447299, 0.36285, 0.0962031, -4.93427, -0.241406, -0, -0
0.078, -0.262082, -0.447582, -0.784542, -1.13105, 6.30926, 7.93315, 1.56823, -1.57072, -0.0137163, 0.000356109, -0.279655, -0.454295, -0.275798, -0.447226, 0.294702, 0.0728524, -5.01348, -0.245246, -0, -0
0.079, -0.262039, -0.447135, -0.790892, -1.14226, 6.35169, 7.9964, 1.56816, -1.57072, -0.0134114, 0, -0.279289, -0.454168, -0.27545, -0.447135, 0.348183, 0.0914675, -5.06396, -0.248772, -0, -0
0.08, -0.261414, -0.447053, -0.796576, -1.15369, 6.39411, 8.05964, 1.5681, -1.57072, -0.0137163, 0, -0.278952, -0.454052, -0.27513, -0.447053, 0.319789, 0.081829, -5.13028, -0.252501, -0, -0
0.081, -0.261361, -0.446958, -0.80291, -1.1651, 6.43654, 8.12289, 1.56803, -1.57072, -0.0134114, 0, -0.278577, -0.453923, -0.274772, -0.446958, 0.357874, 0.0951355, -5.18517, -0.256154, -0, -0
0.082, -0.260773, -0.446887, -0.80863, -1.17653, 6.47897, 8.18614, 1.56798, -1.57072, -0.0137163, 0, -0.278276, -0.453818, -0.274489, -0.446887, 0.283364, 0.0705051, -5.26343, -0.260059, -0, -0
